KOD_ZAMESTNANCA;KOD_PROJEKTU;DATUM;POCET_HODIN
ZAM_001;PRJ_002;1.6.2016;8
ZAM_001;PRJ_001;2.6.2016;0
ZAM_001;PRJ_004;3.6.2016;0
ZAM_006;PRJ_003;2.6.2016;3
ZAM_002;PRJ_002;2.6.2016;4
ZAM_004;PRJ_003;4.6.2016;5
ZAM_003;PRJ_002;4.6.2016;6
ZAM_004;PRJ_001;4.6.2016;0
ZAM_001;PRJ_004;5.6.2016;8
ZAM_005;PRJ_003;5.6.2016;7
ZAM_006;PRJ_004;5.6.2016;0
ZAM_005;PRJ_003;6.6.2016;3
ZAM_004;PRJ_004;6.6.2016;0
ZAM_002;PRJ_005;6.6.2016;5
ZAM_003;PRJ_002;7.6.2016;6
ZAM_004;PRJ_001;7.6.2016;0
ZAM_004;PRJ_002;7.6.2016;7
ZAM_005;PRJ_001;8.6.2016;5
ZAM_001;PRJ_005;8.6.2016;5
ZAM_002;PRJ_005;8.6.2016;1
ZAM_001;PRJ_003;9.6.2016;2
ZAM_006;PRJ_001;9.6.2016;3
ZAM_001;PRJ_005;10.6.2016;4
ZAM_003;PRJ_004;10.6.2016;7
ZAM_006;PRJ_001;10.6.2016;8
ZAM_004;PRJ_002;11.6.2016;0
ZAM_005;PRJ_003;13.6.2016;1
ZAM_002;PRJ_001;13.6.2016;2
ZAM_006;PRJ_002;14.6.2016;6
ZAM_003;PRJ_005;15.6.2016;3
ZAM_006;PRJ_004;15.6.2016;4
ZAM_005;PRJ_005;17.6.2016;5
